review_id,review,aspect,gold_sentiment,llm_sentiment,nli_sentiment
1,"This delightful, well written film is based on a New York stage play bearing the same title where Sir Aubrey (knighted Sir Charles Aubrey Smith in 1944) originated the role he plays in the film. Here, in 1931, we see him in the early part of his acting renaissance in the very early era of ""talkies"" and in the character role that he would make his own until his death in 1948 after finishing his last performance in Little Women which released in 1949.<br /><br />This engaging play is about an elderly British aristocrat who locates his illegitimate children and introduces himself to them, having brought them to his manor in England.<br /><br />Marion Davies plays his daughter-by-error and it's a tour de force for her. She is all at once endearing, impatient, shallow, enchanting, wise and compassionate while creating an indelible and beguiling character that remains well ensconced in the memory.<br /><br />The 26 year old Ray Milland appears here in a small but prominent role having already appeared in seven other pictures then only in films for a bit more than two years.<br /><br />The film should be enjoyed as a representative of 1931 Hollywood factory production of course and as such is not flawless. However, it's a charming pleasure from first scene to the last.",acting_performances,positive,,
1,"This delightful, well written film is based on a New York stage play bearing the same title where Sir Aubrey (knighted Sir Charles Aubrey Smith in 1944) originated the role he plays in the film. Here, in 1931, we see him in the early part of his acting renaissance in the very early era of ""talkies"" and in the character role that he would make his own until his death in 1948 after finishing his last performance in Little Women which released in 1949.<br /><br />This engaging play is about an elderly British aristocrat who locates his illegitimate children and introduces himself to them, having brought them to his manor in England.<br /><br />Marion Davies plays his daughter-by-error and it's a tour de force for her. She is all at once endearing, impatient, shallow, enchanting, wise and compassionate while creating an indelible and beguiling character that remains well ensconced in the memory.<br /><br />The 26 year old Ray Milland appears here in a small but prominent role having already appeared in seven other pictures then only in films for a bit more than two years.<br /><br />The film should be enjoyed as a representative of 1931 Hollywood factory production of course and as such is not flawless. However, it's a charming pleasure from first scene to the last.",story_plot,positive,,
1,"This delightful, well written film is based on a New York stage play bearing the same title where Sir Aubrey (knighted Sir Charles Aubrey Smith in 1944) originated the role he plays in the film. Here, in 1931, we see him in the early part of his acting renaissance in the very early era of ""talkies"" and in the character role that he would make his own until his death in 1948 after finishing his last performance in Little Women which released in 1949.<br /><br />This engaging play is about an elderly British aristocrat who locates his illegitimate children and introduces himself to them, having brought them to his manor in England.<br /><br />Marion Davies plays his daughter-by-error and it's a tour de force for her. She is all at once endearing, impatient, shallow, enchanting, wise and compassionate while creating an indelible and beguiling character that remains well ensconced in the memory.<br /><br />The 26 year old Ray Milland appears here in a small but prominent role having already appeared in seven other pictures then only in films for a bit more than two years.<br /><br />The film should be enjoyed as a representative of 1931 Hollywood factory production of course and as such is not flawless. However, it's a charming pleasure from first scene to the last.",pacing,not_mentioned,,
1,"This delightful, well written film is based on a New York stage play bearing the same title where Sir Aubrey (knighted Sir Charles Aubrey Smith in 1944) originated the role he plays in the film. Here, in 1931, we see him in the early part of his acting renaissance in the very early era of ""talkies"" and in the character role that he would make his own until his death in 1948 after finishing his last performance in Little Women which released in 1949.<br /><br />This engaging play is about an elderly British aristocrat who locates his illegitimate children and introduces himself to them, having brought them to his manor in England.<br /><br />Marion Davies plays his daughter-by-error and it's a tour de force for her. She is all at once endearing, impatient, shallow, enchanting, wise and compassionate while creating an indelible and beguiling character that remains well ensconced in the memory.<br /><br />The 26 year old Ray Milland appears here in a small but prominent role having already appeared in seven other pictures then only in films for a bit more than two years.<br /><br />The film should be enjoyed as a representative of 1931 Hollywood factory production of course and as such is not flawless. However, it's a charming pleasure from first scene to the last.",visuals,not_mentioned,,
1,"This delightful, well written film is based on a New York stage play bearing the same title where Sir Aubrey (knighted Sir Charles Aubrey Smith in 1944) originated the role he plays in the film. Here, in 1931, we see him in the early part of his acting renaissance in the very early era of ""talkies"" and in the character role that he would make his own until his death in 1948 after finishing his last performance in Little Women which released in 1949.<br /><br />This engaging play is about an elderly British aristocrat who locates his illegitimate children and introduces himself to them, having brought them to his manor in England.<br /><br />Marion Davies plays his daughter-by-error and it's a tour de force for her. She is all at once endearing, impatient, shallow, enchanting, wise and compassionate while creating an indelible and beguiling character that remains well ensconced in the memory.<br /><br />The 26 year old Ray Milland appears here in a small but prominent role having already appeared in seven other pictures then only in films for a bit more than two years.<br /><br />The film should be enjoyed as a representative of 1931 Hollywood factory production of course and as such is not flawless. However, it's a charming pleasure from first scene to the last.",direction,not_mentioned,,
1,"This delightful, well written film is based on a New York stage play bearing the same title where Sir Aubrey (knighted Sir Charles Aubrey Smith in 1944) originated the role he plays in the film. Here, in 1931, we see him in the early part of his acting renaissance in the very early era of ""talkies"" and in the character role that he would make his own until his death in 1948 after finishing his last performance in Little Women which released in 1949.<br /><br />This engaging play is about an elderly British aristocrat who locates his illegitimate children and introduces himself to them, having brought them to his manor in England.<br /><br />Marion Davies plays his daughter-by-error and it's a tour de force for her. She is all at once endearing, impatient, shallow, enchanting, wise and compassionate while creating an indelible and beguiling character that remains well ensconced in the memory.<br /><br />The 26 year old Ray Milland appears here in a small but prominent role having already appeared in seven other pictures then only in films for a bit more than two years.<br /><br />The film should be enjoyed as a representative of 1931 Hollywood factory production of course and as such is not flawless. However, it's a charming pleasure from first scene to the last.",writing,positive,,
2,"I walked into a book store in Brentwood, Tennessee. I am not going to say the name because I am a dedicated customer. I have been satisfied with every item I purchased there before this one. On display in the front of the store was The Bell Witch Haunting. (Might I mention this is the only store I have seen it for sale in.) I had heard about the story somewhere and remembered it was supposed to have really happened for real. I was very excited and couldn't wait to watch it. I had great expectations for it. I couldn't believe what I seen when I viewed it. It didn't look like a real movie. It looked like a home video. I was under the impression it was suppose to be a horror movie. I mean the movie was suppose to be about a witch haunting you know. This is no horror movie. You will not jump out of your seat watching this movie. I gave the movie all the chances in the world to get better as it went along. I swear I did. It never did get any better. There were several scenes of this little kid getting poop and pee thrown on him. I didn't find that entertaining at all. I watched the whole movie with disbelief that the store would actually sell this to me. I guess that is how bad this economy has got. I have this to say to the cast and crew. Do not show this film as material to get other film jobs. Don't do it. I mean that sincerely. I commend you for trying. For people who have bought this. I say this. Don't sell your copy to someone. They could get very upset. Have a nice day everyone.",acting_performances,negative,,
2,"I walked into a book store in Brentwood, Tennessee. I am not going to say the name because I am a dedicated customer. I have been satisfied with every item I purchased there before this one. On display in the front of the store was The Bell Witch Haunting. (Might I mention this is the only store I have seen it for sale in.) I had heard about the story somewhere and remembered it was supposed to have really happened for real. I was very excited and couldn't wait to watch it. I had great expectations for it. I couldn't believe what I seen when I viewed it. It didn't look like a real movie. It looked like a home video. I was under the impression it was suppose to be a horror movie. I mean the movie was suppose to be about a witch haunting you know. This is no horror movie. You will not jump out of your seat watching this movie. I gave the movie all the chances in the world to get better as it went along. I swear I did. It never did get any better. There were several scenes of this little kid getting poop and pee thrown on him. I didn't find that entertaining at all. I watched the whole movie with disbelief that the store would actually sell this to me. I guess that is how bad this economy has got. I have this to say to the cast and crew. Do not show this film as material to get other film jobs. Don't do it. I mean that sincerely. I commend you for trying. For people who have bought this. I say this. Don't sell your copy to someone. They could get very upset. Have a nice day everyone.",story_plot,negative,,
2,"I walked into a book store in Brentwood, Tennessee. I am not going to say the name because I am a dedicated customer. I have been satisfied with every item I purchased there before this one. On display in the front of the store was The Bell Witch Haunting. (Might I mention this is the only store I have seen it for sale in.) I had heard about the story somewhere and remembered it was supposed to have really happened for real. I was very excited and couldn't wait to watch it. I had great expectations for it. I couldn't believe what I seen when I viewed it. It didn't look like a real movie. It looked like a home video. I was under the impression it was suppose to be a horror movie. I mean the movie was suppose to be about a witch haunting you know. This is no horror movie. You will not jump out of your seat watching this movie. I gave the movie all the chances in the world to get better as it went along. I swear I did. It never did get any better. There were several scenes of this little kid getting poop and pee thrown on him. I didn't find that entertaining at all. I watched the whole movie with disbelief that the store would actually sell this to me. I guess that is how bad this economy has got. I have this to say to the cast and crew. Do not show this film as material to get other film jobs. Don't do it. I mean that sincerely. I commend you for trying. For people who have bought this. I say this. Don't sell your copy to someone. They could get very upset. Have a nice day everyone.",pacing,not_mentioned,,
2,"I walked into a book store in Brentwood, Tennessee. I am not going to say the name because I am a dedicated customer. I have been satisfied with every item I purchased there before this one. On display in the front of the store was The Bell Witch Haunting. (Might I mention this is the only store I have seen it for sale in.) I had heard about the story somewhere and remembered it was supposed to have really happened for real. I was very excited and couldn't wait to watch it. I had great expectations for it. I couldn't believe what I seen when I viewed it. It didn't look like a real movie. It looked like a home video. I was under the impression it was suppose to be a horror movie. I mean the movie was suppose to be about a witch haunting you know. This is no horror movie. You will not jump out of your seat watching this movie. I gave the movie all the chances in the world to get better as it went along. I swear I did. It never did get any better. There were several scenes of this little kid getting poop and pee thrown on him. I didn't find that entertaining at all. I watched the whole movie with disbelief that the store would actually sell this to me. I guess that is how bad this economy has got. I have this to say to the cast and crew. Do not show this film as material to get other film jobs. Don't do it. I mean that sincerely. I commend you for trying. For people who have bought this. I say this. Don't sell your copy to someone. They could get very upset. Have a nice day everyone.",visuals,negative,,
